search1,search2
,
난로 앞 흔들의자,의자에 이안이 나두고 간 담요가 걸쳐져 있다.
난로 앞 흔들의자,이안에게 주기 위해 담요를 들어 올리자 의자에 무언가가 붙어 있는 것을 볼 수 있었다.
  ,(스티커 클로즈업)
  ,플래시
  ,얼마 전에 내가 참여한 어린이 도서 기부 행사에서 스텝들한테 나눠 준 스티커야. 이게 왜 여기에…
,
  ,캐비닛을 조사하던 중 발에 무언가 닿는 게 느껴졌다.
  ,(close up)  
  ,손을 뻗어 캐비닛 아래의 물건을 꺼내보니 고장난 시계가 있었다.
  ,이건 시계...? 유리에 금이 가 있는 걸 보니 누군가 떨어트렸을 때 고장이 난 것 같아.

  ,별다른 것을 찾아볼 수 없었다.

  ,나무로 된 침대 프레임과 매트리스 사이에 하얀 천이 삐져 나와 있다.
  ,(close up)
  ,(flash)
  ,이게 뭐지?
  ,하얀 천의 끝을 조심스레 당겨보자 모습을 드러낸 건 작은 손수건이었다.
  ,먼지가 살짝 묻은 거 빼고는 꽤 새것처럼 보여. 이것도 수집해두자.
  ,여기는 이미 탐색을 마친 것 같아.
