c3,sc3
  ,  
  ,"어서와, 여기가 거실이고 저기가 주방... 저쪽이 침실이야."
이안,초대해줘서 고마워. 그 별장에서는 하루도 더 묵기 싫었거든.
  ,아니야. 나도 네가 있는 편이 더 안심 돼.
  ,그럼 지금부터 저녁 만들테니까 그동안 거실에서 티비라도 보고 있어.
  ,나는 주방으로 간 뒤 재료 손질을 위해 칼을 뽑아 들었다.
  ,(칼을 뽑아 든 장면)
  ,(암전)
  ,방금...뭐였지?
  ,살인이 벌어진 캐비닛 앞에 섰을 때처럼 소름끼치면서도 익숙한 기분이 나를 감쌌다.
  ,그때 거실 쪽에서 이안과 노아의 웃음소리가 들렸고 나는 겨우 그 꺼림칙한 기분에서 벗어날 수 있었다.
  ,우리는 저녁을 먹고 잠에 들기 위해 침대에 나란히 누웠다.
  ,나는 나와 이안 사이에 있는 노아를 보자 노아를 정말 도와주고 싶다는 생각이 듦과 동시에 이유 모를 불안감을 느꼈다.
  ,"하지만 곤히 잠든 이안과 노아를 보자 다시 마음이 편안해졌고, 나도 이내 잠이 들었다."
  ,날이 밝았고 우리는 다시 별장으로 향했다.
  ,어제 놓친 게 있을 수도 있으니 더 자세히 둘러보자.
  ,(탐색)
  ,나는 발견한 시계를 이안과 노아에게 보여줬다.
노아,이 시계...제 거예요.
노아,고아원에 들어왔을 때부터 제가 가지고 있던 건데…
  ,혹시 가지고 다닐 때부터 이런 상태였어?
노아,아니요. 원래는 멀쩡했어요.
이안,그렇다면 떨어트렸을 때 고장났나 보다.
  이안,곧 있으면 저녁 시간이야. 충분히 본 거 같으니까 돌아갈까?
  ,그래. 그러자
  ,우리는 저녁을 먹고 차를 마시며 오늘 발견한 증거들에 대해 얘기를 나눴다.
  ,나는 증거로 수집해온 시계와 스티커를 주머니에서 조심스럽게 꺼냈다.
  ,아마도 사건 당시 어딘가에 걸려서 시계 줄이 끊어진 모양이야. 그때 바닥에 부딪히면서 고장이 난 거지.
  ,시계는 4시 11분을 가리키고 있다.
  ,시계는 바닥에 떨어짐과 동시에 고장이 나면서 멈췄을 거야.
  ,그렇다면 범인은 이 시각에 아직 별장에 있었던 거겠지…
이안,4시 11분 전후가 범행 시각이라고 봐도 괜찮을까?
  ,그렇게 생각해도 될 것 같아.
  ,그리고 나 이 스티커에 대해서는 할 얘기가 있어.
  ,나는 다이어리에서 사진 하나를 빼왔다.
  ,이 스티커는 내가 얼마 전 참여한 행사에서 스텝들이 옷에 붙여야 했던 스티커야.
  ,이건 행사 끝나고 찍은 기념사진이고.
  ,사진 찍을 때 빠진 사람은 없었어.
이안,이 행사 얼마나 자주 열려?
  ,이번이 처음이었어.
이안,다들 오른쪽 가슴에 스티커를 붙이고 있네. 그렇다면 용의자는 6명…
  ,아니. 5명이야.
이안,응? 그치만…
  ,이 스티커와 사람들이 입고 있는 옷을 봐봐.
이안,아...! 여기 중간에 니트를 입고 있는 사람이라면 스티커에 털실이 조금이라도 묻었겠구나!
  ,맞아. 저런 옷이라면 스티커 뒷면이 이렇게 먼지뿐일 리가 없지.
  ,그러니까 용의자는 5명이야.
  ,이안과 노아는 잠시 내가 대단하다는 듯 쳐다봤다.
  ,별 거 아니야. 음...직업병 같은 거지.
노아,어떤 직업이요?
  ,말하기 부끄럽지만 나 추리소설을 쓰고 있어.
이안,작가였구나!
이안,왠지 별장을 탐색할 때마다 예리하다 생각했어. 대단하다!
  ,칭찬에 약한 나는 그런 이안의 말을 애써 무시하며 말을 이어나갔다.
  ,일단 여기 있는 사람들에 대해 내가 아는대로 정리해볼게. 한번 읽어봐.
이안,꽤 자세하네.
  ,응. 개인적으로 친분이 있는 사람도 있고. 그렇지 않더라도 우리 마을은 작아서 보통 다 안면이 있는 사이거든.
이안,그건 그나마 다행이네. 모르는 사람한테 이것 저것 물어볼 수는 없으니까.
  ,그치...그래서 말인데. 내일은 엠버를 먼저 만나러 가볼까 해. 친구...거든.
이안,아… 그게 마음이 편하겠다. 그치?
  ,응…
이안,좋아. 얘기해보고 우리한테 전달해줘.
  ,그래 알겠어.
  ,나는 조용히 사진을 바라보는 노아의 머리를 조심스럽게 쓰다듬었다.
  ,노아의 묘한 긴장이 조금 누그러지는 게 느껴졌다.
  ,우리는 어제 밤처럼 나란히 누워 쓸데없는 이야기를 나누다가 하나 둘 잠에 들었다.
